Service,Actif,Importance,Type,Vendor,Product,Version,Update,Edition,Langage,sw_edition,target_sw,target_hw,other
SI,Exemple,OS,Microsoft,Windows vista,6.0,sp1,,,home premium,,x64,
SI,BRL008,2,Hardware,HP,Elitebook 840 G,,,,,,,,
SI,BRL008,2,OS,Microsoft,Windows 10 professionnel,,,,,,,,
SI,BRL008,2,Software,7-Zip,7-Zip,19.00,,,,,,,
SI,BRL008,2,Software,google,chrome,90.0.4430.212,,,,,,,
SI,BRL008,2,Software,Microsoft,Edge,90.0.818.66,,,,,,,
SI,BRL008,2,Software,Microsoft,office,2019,,,,,,,
SI,BRL008,2,Software,Microsoft,OneDrive,21.073.0411.0002,,,,,,,
SI,BRL008,2,Software,Microsoft,Store,12104.1001.0.0,,,,,,,
SI,BRL008,2,Software,Symantec,Norton 360,22.21.3.48,,,,,,,
SI,BRL008,2,Software,Oracle,VirtualBox,6.1.12,,,,,,,
SI,BRL008,2,Software,Putty,Putty,0.74.0.0,,,,,,,
SI,BRL008,2,Software,Skype,Skype,,,,,,,,
SI,BRL008,2,Software,Vmware,Workstation,15.5.6,,,,,,,
